factor,classification,logical_question,logical_rationale,expected_relation_to_disability,n_missing,missing_pct,n_unique_non_missing,data_type,mean,median,std,min,max,association_metric,association_metric_name,p_value,quantitative_question,known_fact_alignment,red_flag
upper_limb_difficulty,structural_target_proximal,Why was upper_limb_difficulty selected and does it make scientific sense for disability severity?,This is close to the disability construct and may act as a proximal structural indicator.,,4,0.04,2,numeric,0.3924,0.0,0.4883,0.0,1.0,0.6286,spearman_rho_vs_disability_stage,0.0,"What do the values of upper_limb_difficulty look like by disability stage, and is the trend consistent with prior expectations?",unclear,
mobility_difficulty,structural_target_proximal,Why was mobility_difficulty selected and does it make scientific sense for disability severity?,This is very close to the target construct and may strongly track disability severity.,,138,1.31,2,numeric,0.5451,1.0,0.498,0.0,1.0,0.8559,spearman_rho_vs_disability_stage,0.0,"What do the values of mobility_difficulty look like by disability stage, and is the trend consistent with prior expectations?",unclear,
adl_difficulty,structural_target_proximal,Why was adl_difficulty selected and does it make scientific sense for disability severity?,This is very close to the target construct and may strongly track disability severity.,,2,0.02,2,numeric,0.2039,0.0,0.4029,0.0,1.0,0.7411,spearman_rho_vs_disability_stage,0.0,"What do the values of adl_difficulty look like by disability stage, and is the trend consistent with prior expectations?",unclear,
age,high_value; core_causal,Why was age selected and does it make scientific sense for disability severity?,"Older age is historically associated with frailty, multimorbidity, and greater disability burden.",positive,0,0.0,60,numeric,62.4544,65.0,14.5073,20.0,80.0,0.0028,spearman_rho_vs_disability_stage,0.77656311,"What do the values of age look like by disability stage, and is the trend consistent with prior expectations?",not_confirmed,
sex,core_causal,Why was sex selected and does it make scientific sense for disability severity?,"Sex differences may influence body composition, disease patterns, and functional decline.",,0,0.0,2,numeric,1.5119,2.0,0.4999,1.0,2.0,0.0732,spearman_rho_vs_disability_stage,0.0,"What do the values of sex look like by disability stage, and is the trend consistent with prior expectations?",unclear,
race_ethnicity,weak_or_contextual,Why was race_ethnicity selected and does it make scientific sense for disability severity?,"Race/ethnicity may reflect disparities, access, environment, and population heterogeneity rather than direct biology.",,1283,12.22,4,numeric,2.8913,3.0,0.9404,1.0,4.0,0.0171,spearman_rho_vs_disability_stage,0.10159635,"What do the values of race_ethnicity look like by disability stage, and is the trend consistent with prior expectations?",unclear,
education,weak_or_contextual,Why was education selected and does it make scientific sense for disability severity?,"Education is a socioeconomic proxy related to health literacy, prevention, and healthcare utilization.",negative_or_protective,0,0.0,4,numeric,3.0702,3.0,1.0726,1.0,4.0,-0.103,spearman_rho_vs_disability_stage,0.0,"What do the values of education look like by disability stage, and is the trend consistent with prior expectations?",confirmed,
income_poverty_ratio,weak_or_contextual,Why was income_poverty_ratio selected and does it make scientific sense for disability severity?,Income-poverty ratio captures socioeconomic resources that may affect disease burden and function.,negative_or_protective,2511,23.92,493,numeric,1.8234,1.5,1.2028,0.0,4.99,-0.1475,spearman_rho_vs_disability_stage,0.0,"What do the values of income_poverty_ratio look like by disability stage, and is the trend consistent with prior expectations?",confirmed,
BMI,high_value; derived; potentially_redundant,Why was BMI selected and does it make scientific sense for disability severity?,"BMI summarizes body-size status and is linked to obesity, metabolic disease, frailty, and mobility limitation.",positive_or_u_shaped,0,0.0,853,numeric,29.8046,28.7,7.1984,13.4,84.4041,0.1841,spearman_rho_vs_disability_stage,0.0,"What do the values of BMI look like by disability stage, and is the trend consistent with prior expectations?",possibly_non_linear_or_positive,BMI_out_of_expected_range
height_cm,redundant_when_BMI_present,Why was height_cm selected and does it make scientific sense for disability severity?,"Height is a body-size measure, useful mainly through its contribution to BMI and body composition context.",,0,0.0,858,numeric,165.554,165.2081,10.037,129.7,202.7,-0.0619,spearman_rho_vs_disability_stage,0.0,"What do the values of height_cm look like by disability stage, and is the trend consistent with prior expectations?",unclear,
weight_kg,redundant_when_BMI_present,Why was weight_kg selected and does it make scientific sense for disability severity?,Weight reflects body mass burden and may influence mobility and metabolic status.,,0,0.0,1489,numeric,81.9038,78.88,21.7015,29.1,219.6,0.1344,spearman_rho_vs_disability_stage,0.0,"What do the values of weight_kg look like by disability stage, and is the trend consistent with prior expectations?",unclear,
mean_SBP,high_value; core_causal,Why was mean_SBP selected and does it make scientific sense for disability severity?,Systolic blood pressure reflects vascular burden and is often linked with aging and chronic disease.,positive,0,0.0,748,numeric,131.7268,129.0,20.3121,70.6667,234.6667,0.0034,spearman_rho_vs_disability_stage,0.73012741,"What do the values of mean_SBP look like by disability stage, and is the trend consistent with prior expectations?",not_confirmed,
mean_DBP,redundant_or_secondary,Why was mean_DBP selected and does it make scientific sense for disability severity?,Diastolic blood pressure complements SBP but is often less informative than systolic pressure in older adults.,weak_positive,0,0.0,895,numeric,70.8936,70.6667,11.4478,40.0,138.6667,-0.0306,spearman_rho_vs_disability_stage,0.00172568,"What do the values of mean_DBP look like by disability stage, and is the trend consistent with prior expectations?",unclear,
max_grip_strength,high_value; core_causal,Why was max_grip_strength selected and does it make scientific sense for disability severity?,"Grip strength is a recognized marker of frailty, sarcopenia, and functional reserve.",negative,0,0.0,6291,numeric,32.5667,32.0299,8.9192,6.1,81.5,-0.1144,spearman_rho_vs_disability_stage,0.0,"What do the values of max_grip_strength look like by disability stage, and is the trend consistent with prior expectations?",confirmed,
HbA1c,high_value; core_causal,Why was HbA1c selected and does it make scientific sense for disability severity?,HbA1c reflects chronic glycemic control and long-term metabolic burden.,positive,0,0.0,452,numeric,6.0671,5.8,1.1453,3.5,17.8,0.0755,spearman_rho_vs_disability_stage,0.0,"What do the values of HbA1c look like by disability stage, and is the trend consistent with prior expectations?",confirmed,
fasting_glucose,core_causal,Why was fasting_glucose selected and does it make scientific sense for disability severity?,Fasting glucose reflects current glycemic status and complements HbA1c.,positive,0,0.0,5206,numeric,117.9614,110.6886,35.6819,47.0,479.0,0.0673,spearman_rho_vs_disability_stage,0.0,"What do the values of fasting_glucose look like by disability stage, and is the trend consistent with prior expectations?",confirmed,
total_cholesterol,core_causal_or_secondary,Why was total_cholesterol selected and does it make scientific sense for disability severity?,"Total cholesterol reflects cardiometabolic burden, though it may not directly map to disability.",uncertain,0,0.0,393,numeric,189.9106,186.1865,40.6408,75.0,475.0,-0.0643,spearman_rho_vs_disability_stage,0.0,"What do the values of total_cholesterol look like by disability stage, and is the trend consistent with prior expectations?",unclear,
HDL,core_causal_or_secondary,Why was HDL selected and does it make scientific sense for disability severity?,HDL is a protective lipid marker and may be inversely related to metabolic risk.,negative_or_protective,0,0.0,284,numeric,53.3814,53.0,15.5037,11.0,158.0,-0.0786,spearman_rho_vs_disability_stage,0.0,"What do the values of HDL look like by disability stage, and is the trend consistent with prior expectations?",confirmed,
triglycerides,core_causal_or_secondary,Why was triglycerides selected and does it make scientific sense for disability severity?,Triglycerides often indicate insulin resistance and cardiometabolic dysfunction.,positive,0,0.0,5377,numeric,140.5249,124.4691,157.1298,-395.8931,2141.0,0.0022,spearman_rho_vs_disability_stage,0.82023651,"What do the values of triglycerides look like by disability stage, and is the trend consistent with prior expectations?",not_confirmed,
LDL,derived; potentially_redundant,Why was LDL selected and does it make scientific sense for disability severity?,"LDL is clinically relevant but partially derived from other lipid variables, so redundancy is possible.",positive,0,0.0,5916,numeric,108.4243,107.2707,24.7215,-139.8,356.6,-0.0635,spearman_rho_vs_disability_stage,0.0,"What do the values of LDL look like by disability stage, and is the trend consistent with prior expectations?",not_confirmed,
smoking_status,core_causal,Why was smoking_status selected and does it make scientific sense for disability severity?,Smoking reflects a damaging behavioral exposure associated with vascular and systemic disease.,positive,11,0.1,3,numeric,0.7134,1.0,0.7756,0.0,2.0,0.0897,spearman_rho_vs_disability_stage,0.0,"What do the values of smoking_status look like by disability stage, and is the trend consistent with prior expectations?",confirmed,
MET_min_week,high_value; core_causal,Why was MET_min_week selected and does it make scientific sense for disability severity?,Weekly MET-minutes summarize physical activity and are expected to be protective against disability.,negative,0,0.0,284,numeric,1056.4098,0.0,2787.487,0.0,35280.0,-0.1317,spearman_rho_vs_disability_stage,0.0,"What do the values of MET_min_week look like by disability stage, and is the trend consistent with prior expectations?",confirmed,
